m-3AAr: e-9999 
m-5AAr: e-6 
m-4AC: o-9 
m-6AA: o-13 
m26AG: e1 e60 
m7AEr: e5 o-45 
m-21AF: e11 e42 
R-5m-10AG: e15 o-9 
m-11AD: e23 e-9999 
m-10ABr: e35 o-4 
m-3AD: e35 e-17 
m-18AC: e36 e22 
m-33ACr: e9999 e17 o37 
m-12AFr: e9999 e29 e0 
m2ABr: e9999 e58 e39 
m8AA: e1 e23 e8 
m0ABr: e1 e23 o11 
m15AD: e1 e38 e26 
R12m26AG: o1 o39 o12 
L15m26AG: e1 e56 e-30 
m-13AAr: e4 e9999 e20 
m-8AA: e4 e9999 e24 
m-13AD: e5 o-17 e-28 
R-9m7AEr: e5 e-30 o4 
R-8m7AEr: e5 e-32 e15 
L-17m7AEr: e5 e-38 e7 
L-1m7AEr: e5 e-50 e-51 
m6AE: o-7 o-11 e-8 
m0AA: o-7 o-11 o-13 
m2AC: o-7 o-29 o-53 
m-2ABr: e15 e2 e9999 
m-7AF: e15 e2 e5 
m-7ACr: e15 e2 o1 
L-12m2AC: o19 o32 e26 
L-41m-20ABr: e19 e33 e55 
m-16AC: e19 e33 e-5 
m9AAr: e19 o29 o14 
m-5AB: e19 o29 o38 
L-25m-2AC: e19 o33 o-29 
L-25m10AFr: e19 o33 o-33 
L-25m-6AA: e19 o33 o-45 
L-25m6AFr: e19 o33 e-54 
m-13ACr: e23 e13 e9999 
m-21AAr: e23 e26 o-15 
m-1AD: e24 e24 e13 
m2AA: e24 e24 o-6 
m-14AG: e26 e-9999 e4 
m-20AA: e26 e-26 e15 
m-18ADr: e26 e36 e28 
m-23AEr: e26 e36 e35 
m-12ABr: e26 e36 e56 
m-10AC: e29 e19 e4 
m-3AF: e29 e19 e-4 
m-12ADr: e29 e23 e9 
m-8ABr: e29 e28 e9999 
m-6AC: e29 o2 o7 
R-8m-6AC: e29 o-14 o-39 
m-2AE: e29 e-25 e33 
m-4AA: e32 e8 e15 
m4AE: e33 o32 e21 
m3AF: e33 o32 e23 
m9AGr: e35 e-2 e-16 
R-4m-6ADr: o35 e-3 o-5 
m6AG: e35 o-3 o17 
L-14m-4AC: o35 e-8 e-17 
m-16AG: e35 o-12 e9999 
m1AF: e36 e30 e1 
m-5AF: e38 e-9999 o0 
m1AD: e9999 e0 e5 e6 
m-3AB: e9999 e0 e5 e10 
m16AC: e9999 e0 e13 e14 
m-1AB: e9999 e1 e44 o9999 
m-21AD: e9999 e1 e57 o34 
m-33AAr: e9999 e1 e59 e2 
m-1AEr: e9999 e-2 o-3 e0 
m7AB: e9999 e-2 e-10 e7 
m1AAr: e9999 e-2 o-11 o-15 
m-2ADr: e9999 o-3 e3 e1 
m-11ACr: e9999 o-5 o9999 e-24 
m-5AGr: e9999 e6 e9999 e9999 
m-8AFr: e9999 e6 e9999 e0 
m-7AEr: e9999 e14 e25 e-22 
m6ABr: e9999 e17 e-5 e0 
R-33m-2ADr: o9999 o21 o3 o1 
m-28AG: e9999 e26 e-9999 e-6 
m-16ABr: e9999 e28 e9999 e9999 
m-11AEr: e9999 e28 o-45 e59 
m-17AD: e9999 e42 e0 e0 
m4ADr: e9999 e43 o-51 e-9999 
m-33AEr: e9999 e46 o52 e-22 
R-20m4AC: o9999 o58 e-1 e6 
R-20m-18AC: o9999 o58 e-1 e-28 
m10AA: e1 e-9999 e-9999 e1 
m11AAr: e1 e-9999 e-9999 o-15 
m-14AA: e1 e15 e11 e34 
m-3AEr: e1 e15 e11 e50 
m11AD: e1 e23 e-9999 e32 
m19AD: e1 e23 e1 e-9999 
m21AAr: e1 e23 e1 o12 
m20ADr: e1 e23 e1 o17 
m18AA: e1 e23 e2 e0 
m23AEr: e1 e23 e13 o-9999 
L8m23AEr: o1 o23 o13 e-26 
m14ADr: e1 e23 e27 e1 
m20AA: e1 e23 o3 e-9999 
m11ACr: e1 e23 o4 o-9999 
m3AD: e1 e23 e-39 e7 
m16AG: e1 e28 e9 e9999 
m15ACr: e1 e28 e14 e-3 
m-1AF: e1 e28 e25 e5 
m-2AC: e1 e28 e25 e18 
m-1AAr: e1 e28 e25 e25 
m5ACr: e1 e28 e37 e9999 
m8AC: e1 e28 e37 e30 
m11AEr: e1 e28 e37 e38 
m6AA: e1 e28 e37 e42 
m6AC: e1 e28 e37 e49 
L0m26AG: e1 e31 e-6 e36 
R1m26AG: o1 o31 e-6 o-32 
R1m-6ADr: o1 o31 e8 o13 
R1m-7AEr: o1 o31 e8 e16 
m23AF: e1 e31 o12 e-8 
R15m6AE: e1 e32 o2 e1 
